6B1B7	15	53518	16
1111111010110100111	2	7F5A7	16
18A044	11	291537	10
12020311	5	2C4B8	14
2103101331	4	603261	10
303866	9	100010222020	3
211020230	5	211020230	5
264078	12	1011221221102	3
285936	12	1A7750	13
1321230	4	1E6C	16
114403201	5	15355200	6
3210230223	4	214433442	5
443733	11	1BA132	13
1121102111222	3	30153125	6
284750	10	1000101100001001110	2
838631	10	523092	11
9B423	13	9B423	13
194413	11	1107222	8
3344204	8	1200220002120	3
3391D	16	351668	9
10111100110001000101	2	2330301011	4
15415053	6	2011132221	4
260C3A	13	260C3A	13
1640873	9	912693	10
3122231303	4	3122231303	4
10B005	13	100123330	5
12201221011	3	11011100100110001	2
3021307	8	4A3602	11
111237	11	1335632	7
B7775	16	1364744	9
20520521	6	11930D	14
132133000	5	1A21C3	13
262484	10	5343112	6
21069C	13	488262	11
1211C	15	E11B	16
664158	10	280426	12
124230400	5	2594A8	12
1292C5	15	36BBAB	12
158708	13	2002012001	4
12EA4	16	10221021111	3
245A	14	3814	12
593827	10	247797	12
313210010	4	AB858	12
2617274	8	10110001111010111100	2
77081	12	266A1	16
142004112	5	142004112	5
3799AA	12	213034001	5
1102102211020	3	1372736	9
83213	12	3401223	6
3012333121	4	507409	11
110030111	4	463064	7
333120303	4	111012011010	3
546160	9	546160	9
1600466	9	3120111213	4
45AD0	14	29636	16
81876	12	101001001110011010	2
1353455	7	230101130	4
430679	11	292837	12
1010101111001001001	2	122212121021	3
6136043	7	141410433	5
6523544	7	10ACE2	15
602215	8	6C034	13
3BB626	12	F2CBE	16
31431	15	212020210	4
122201011011	3	1111012132	4
2280B3	12	1032630	9
667BF	16	ACD9D	14
826355	10	10011125	7
4500626	7	10634D	14
4555061	7	10001010110001001010	2
E0736	15	10101101011011101000	2
AEA6F	16	23155531	6
3424355	8	214143411	5
100120112201	3	188479	10
209959	12	D575B	14
21233214	5	540322	8
2C617	15	6A9AA	12
166176	10	22102221200	3
1240135	7	3241034	6
116447	15	116447	15
154A21	14	468146	11
5025304	6	39E08	16
28953B	12	28953B	12
3222	8	23212	5
21401440	5	231010230	4
BA397	15	11577C	14
301030130	4	98738	12
131311201	4	2341441	6
132330024	5	1226582	9
32210352	6	3999B8	12
4230354	7	1111100111001101111	2
E5C6F	16	26C506	13
210112021110	3	11AB52	13
22034033	6	2405045	8
346098	12	839924	10
38C5C	15	306166	9
6531402	7	25032533	6
31131045	6	898373	10
C551C	14	1310021012	4
210020102102	3	11836A	13
231A5	16	2C906	15
41143302	5	1214572	8
305B5	16	101001200220	3
248B63	13	248B63	13
2103120	8	558672	10
681782	10	133304112	5
7BD01	15	1402272	8
209712	10	1532256	7
1110100011010000000	2	1310122000	4
74511	8	B45B	14
9DB84	16	5330304	7
16328B	13	2012031013	4
393CD	16	711715	8
314259	11	4164465	7
136499	13	1A8668	12
132018	13	70A4F	16
15241354	6	A84AA	15
14471	9	23211	8
454110	10	2901A8	11
491426	10	1110111111110100010	2
35F7D	16	366204	9
1112100011111	3	6626155	7
451304	8	3132524	6
2406365	8	279219	12
B1D5D	14	687AF	16
3624703	8	223244411	5
195200	11	299717	10
20C7B	14	135BD	16
1010111110000	2	12760	8
211100110022	3	439919	10
13332553	6	128A66	13
E4CD8	15	E4CD8	15
346319	11	226406	12
118358	13	26606A	11
6234211	7	142420224	5
441548	9	441548	9
11BE28	15	CF989	16
24020	9	24020	9
22834	10	6B74	15
86347	10	10230342	5
D267A	15	1225037	9
A1790	11	148687	10
418704	10	840D9	15
133252	8	133252	8
115A78	12	465652	9
292314	11	1A04BB	12
200044313	5	784333	10
10010010001100111	2	74855	10
2121032	4	23116	8
756760	10	1102110002011	3
37BA10	12	213141413	5
301220310	4	997B0	12
340215	7	340215	7
165066	13	2013030000	4
11000011011101000011	2	C3743	16
462622	7	22182	14
5A5322	11	32314243	6
20255252	6	1126D2	14
29711	11	2010210000	3
2A556	11	2104A	12
44724	16	112020120120	3
144202331	5	1615C4	14
11341503	6	42334003	5
83989	13	400634	9
150301	7	13010200	4
388667	9	388667	9
3114325	6	210220031	4
1241212	8	11215522	6
127813	13	103221122	5
1A5100	12	1110001100001010000	2
4972B	15	1501A4	11
1BABC2	14	990166	10
33023002	6	222424033	5
30341345	6	D4141	16
342054	12	1120022121101	3
718E2	15	1113311102	4
1794A7	14	3023031223	4
680577	10	680577	10
221303113	5	11120212	7
100010010	2	10102	4
1BB37	13	1100533	6
182498	14	1121021010012	3
2544043	7	67D2A	15
13243314	6	1101011110000111110	2
50044A	11	16D929	14
112350	12	1026154	8
8FB23	16	1146D5	14
101010000011011010	2	46AB8	14
842B	12	60041	7
5B095	16	75740	15
274B55	12	1020002112002	3
31433134	6	922162	10
E85C9	16	951753	10
612284	10	389022	11
12503423	6	1210310013	4
88DDB	16	88DDB	16
25263C	13	890850	10
169818	12	7A832	15
4A8433	11	C3BF6	16
2A5744	12	448A8A	11
34031404	5	120012010022	3
127298	11	101011100101	3
1C5745	13	2B034A	12
121200020001	3	121200020001	3
271B40	12	131134201	5
4597A	15	102020212021	3
E8901	15	23451344	6
14A519	15	11110011010110100110	2
10011001101011011001	2	10011001101011011001	2
533904	10	15235440	6
14106B	14	10101001100000110111	2
465005	9	73A7A	14
19730B	14	12CA00	15
120244010	5	106958	14
32225002	6	5A056A	11
580363	10	580363	10
112141002	5	221200202120	3
313546	9	2D7E6	16
3130121001	4	212341341	5
14515	12	110111011100001	2
212120221211	3	776854	9
444926	10	444926	10
366706	9	24041320	5
DB81E	15	1022102012202	3
5220013	7	124543	14
2230027	8	123232020	5
100000110111000010	2	406702	8
194477	12	1101100001010011011	2
3535240	7	19614A	12
470084	11	B651F	16
10011011010100111101	2	268225	12
5131501	7	5131501	7
3431202	6	526222	8
22099A	13	11000011101001001100	2
2565661	7	8A531	14
684312	10	5550036	7
182DD	15	20759	14
38789	10	38789	10
287144	12	2450004	8
57242	10	20093	13
991CA	14	991CA	14
6611333	7	10ED6B	15
200134244	5	3000012020	4
202221221222	3	3335606	7
115332	9	10F97	16
60E3C	15	1022330031	4
191079	10	191079	10
677791	10	A579F	16
8DD0	14	131650	7
223000123	5	223000123	5
3A0660	12	954792	10
3222311211	4	5A7759	11
B1AC3	13	4DB09	16
1131431	6	162513	8
275695	13	13CCC4	15
2222110112	3	3334113	5
2550435	8	1300368	9
2112111212	3	142B8	14
13BA73	12	331575	10
414652	8	20222210212	3
4524200	6	5D676	14
202296	12	202296	12
3101201313	4	536890	11
3562262	7	758282	9
1111011000001011001	2	1323001121	4
184C27	14	30222335	6
45827	9	1434222	5
1110002220022	3	2323323113	4
E9B9B	15	15445C	14
11110001110101110000	2	33122000	6
4C0E4	16	130344	12
349464	10	C30AB	13
27492A	11	1101001001110111010	2
220211011112	3	220211011112	3
140042111	5	10101100010101110010	2
19803A	14	1201000012201	3
10011010111110010010	2	192C06	13
300133212	4	6C543	13
837510	10	CC786	16
406546	9	B7589	12
1111011110100100	2	19164	14
274B68	12	5352050	7
E7E63	15	2B5856	12
202047	12	1111010010110110111	2
221111010222	3	9D98E	15
1733250	9	11101100000011001101	2
1934A8	11	297415	10
22141005	6	666365	10
19085C	13	1011222212212	3
163370	9	600123	7
111011102	5	111011102	5
3562551	7	13410123	6
7A93A	12	163774	10
444290	10	1543602	8
18510B	12	102023030	5
C4100	16	25113532	6
5D9FE	16	165B12	12
1A6A61	13	A406E	16
16765	14	DC15	16
10100110111101111010	2	13B33C	14
1101120202020	3	2B8120	12
2232476	8	25127A	12
1186787	9	40293A	11
22445450	6	690726	10
1A296A	11	8162C	14
4424452	7	10000100110111100111	2
786102	9	212220010002	3
5203410	7	18A7C1	13
1021222020021	3	430189	11
3845D	14	415523	8
11491B	12	463055	9
60B65	14	706445	8
18647A	12	8623D	15
702614	9	702614	9
1351501	7	180664	10
2312032233	4	B63AF	16
212101123	5	10412106	7
298A86	11	298A86	11
58D51	14	A5463	12
2310130	8	3989A7	11
474205	8	5891A	13
674215	9	674215	9
76544	13	641772	8
3103033012	4	541066	11
1231311331	4	449917	10
184047	9	23DD1	15
100001101000001111	2	228847	9
3DA67	14	1204660	7
15354503	6	10000100110101000111	2
261952	11	64B09	16
3426F	16	1546533	7
32451413	6	32451413	6
72743	15	43102023	5
1717562	9	11063552	7
11256235	7	223121433	5
2350450	7	193949	11
10101010111011011111	2	10101010111011011111	2
34312140	5	7DD2A	14
3112322333	4	10324346	7
23021454	6	1281077	9
1172B8	14	2214042	8
5424655	7	132140411	5
1689C8	13	231228	12
2A294	13	11001010100	3
615522	11	615522	11
117224	13	180615	12
6DC22	14	1001210012	4
214410	5	5690	11
16345D	14	10111101110011001011	2
6A217	13	233102132	4
1C62A1	13	141241201	5
1111022211101	3	4A23A7	11
D6262	16	1576205	9
349461	10	122202101000	3
147627	13	1322203023	4
51A851	11	1172A5	15
AD752	14	66D9C	16
1985C	14	64762	10
53AA3	15	5405513	6
202121220001	3	1203013111	4
2113533	7	255804	10
528B	16	115415	7
11145665	7	3A918B	12
1766207	8	325184	11
15105	15	67730	10
5CA0E	15	123295	12
325710	9	50C42	14
134443323	5	2223213303	4
643349	10	5316440	7
1000210021202	3	8588F	16
BBDF	16	1011101111011111	2
528B1	14	605173	8
30341154	6	210243411	5
1022211001222	3	2540744	8
3071A	16	4130350	6
381914	12	575854	11
3023023133	4	231A52	13
1002020122022	3	8C8A0	16
6155025	7	1342176	9
10616331	7	1353E3	15
2132150	6	2A61C	14
5662346	7	10101011111101101000	2
190A57	12	1101010101011100011	2
1B9078	13	140032321	5
241	8	161	10
